time,agegroup
457,14002,40
458,14004,30
459,14006,30
460,14010,45
461,14011,40
462,14014,35
463,14014,40
464,14015,45
465,14015,50
466,14015,55
467,14016,55
468,14021,40
469,14026,35
470,14027,30
471,14030,35
472,14033,50
473,14035,45
474,14036,45
475,14037,40
476,14041,40
477,14043,40
478,14048,40
479,14048,45
480,14049,35
481,14051,40
482,14053,30
483,14054,50
484,14055,30
485,14058,40
486,14058,45
487,14061,45
488,14063,35
489,14063,40
490,14064,30
491,14068,35
492,14069,40
493,14069,45
494,14070,45
495,14071,40
496,14072,50
497,14073,30
498,14073,35
499,14074,30
500,14075,45
501,14076,35
502,14086,40
503,14087,40
504,14090,30
505,14102,40
506,14105,30
507,14105,35
508,14109,35
509,14109,45
510,14112,40
511,14113,40
512,14118,35
513,14120,30
514,14123,40
515,14127,40
516,14129,35
517,14131,30
518,14131,30
519,14138,30
520,14141,35
521,14142,35
522,14154,30
523,14155,50
524,14156,35
525,14157,40
526,14160,40
527,14162,30
528,14164,30
529,14166,45
530,14167,45
531,14170,40
532,14172,40
533,14175,30
534,14175,40
535,14178,40
536,14179,45
537,14179,45
538,14183,40
539,14185,35
540,14190,50
541,14193,30
542,14193,40
543,14195,30
544,14197,45
545,14197,45
546,14198,30
547,14202,55
548,14205,40
549,14207,45
550,14211,30
551,14212,40
552,14214,40
553,14216,35
554,14225,30
555,14227,35
556,14228,30
557,14229,30
558,14231,40
559,14231,55
560,14232,45
561,14234,35
562,14237,50
563,14240,45
564,14242,40
565,14242,50
566,14246,35
567,14256,30
568,14256,35
569,14257,35
570,14258,45
571,14262,35
572,14263,30
573,14266,35
574,14268,35
575,14270,30
576,14284,30
577,14287,35
578,14290,40
579,14291,40
580,14294,50
581,14298,45
582,14301,45
583,14303,30
584,14304,30
585,14306,35
586,14307,35
587,14308,35
588,14309,30
589,14309,45
590,14312,35
591,14312,40
592,14313,30
593,14314,40
594,14316,35
595,14319,40
596,14320,30
597,14320,50
598,14321,35
599,14323,40
600,14327,50
601,14331,50
602,14339,30
603,14339,45
604,14340,50
605,14343,30
606,14347,35
607,14347,40
608,14351,30
609,14353,40
610,14355,45
611,14356,45
612,14358,30
613,14362,30
614,14362,45
615,14363,30
616,14363,45
617,14364,50
618,14368,45
619,14376,35
620,14378,40
621,14381,30
622,14381,35
623,14382,45
624,14387,45
625,14398,40
626,14399,35
627,14399,55
628,14402,35
629,14404,35
630,14404,45
631,14408,45
632,14409,35
633,14409,35
634,14414,40
635,14414,40
636,14415,50
637,14419,35
638,14421,30
639,14421,50
640,14426,35
641,14426,40
642,14427,45
643,14428,30
644,14429,35
645,14432,40
646,14437,30
647,14438,45
648,14442,50
649,14454,45
650,14455,30
651,14457,40
652,14457,50
653,14460,40
654,14461,40
655,14463,35
656,14465,30
657,14466,30
658,14468,35
659,14468,45
660,14470,35
661,14474,40
662,14478,40
663,14481,30
664,14481,45
665,14483,35
666,14483,40
667,14487,30
668,14488,30
669,14488,45
670,14489,30
671,14490,30
672,14493,40
673,14497,30
674,14505,35
675,14505,35
676,14508,35
677,14513,35
678,14514,50
679,14519,40
680,14521,30
681,14521,40
682,14533,40
683,14535,30
684,14538,40
685,14542,45
686,14543,30
687,14546,30
688,14551,30
689,14551,45
690,14552,50
691,14553,45
692,14555,45
693,14556,35
694,14557,35
695,14557,45
696,14557,45
697,14558,40
698,14558,45
699,14560,40
700,14567,30
701,14568,30
702,14569,30
703,14571,50
704,14572,40
705,14582,40
706,14584,35
707,14584,50
708,14587,30
709,14590,30
710,14592,30
711,14593,40
712,14594,40
713,14599,40
714,14601,30
715,14603,30
716,14604,45
717,14609,35
718,14619,45
719,14621,30
720,14621,35
721,14621,45
722,14622,35
723,14624,30
724,14629,30
725,14631,40
726,14633,40
727,14635,35
728,14635,45
729,14636,45
730,14637,50
731,14638,45
732,14640,35
733,14642,35
734,14647,35
735,14649,40
736,14652,35
737,14655,45
738,14662,40
739,14662,50
740,14663,35
741,14663,35
742,14663,35
743,14667,30
744,14672,30
745,14672,45
746,14673,50
747,14677,30
748,14681,30
749,14681,35
750,14683,45
751,14686,40
752,14688,35
753,14688,35
754,14689,40
755,14693,30
756,14694,35
757,14694,40
758,14694,50
759,14696,45
760,14697,35
761,14699,30
762,14700,40
763,14702,40
764,14703,40
765,14704,45
766,14708,40
767,14715,45
768,14719,50
769,14721,35
770,14732,45
771,14739,40
772,14741,50
773,14744,40
774,14751,30
775,14755,40
776,14756,30
777,14757,40
778,14759,35
779,14762,45
780,14774,35
781,14776,30
782,14779,30
783,14779,45
784,14781,30
785,14781,40
786,14782,30
787,14784,30
788,14786,40
789,14788,35
790,14788,40
791,14790,40
792,14791,50
793,14798,30
794,14798,35
795,14798,35
796,14799,40
797,14801,40
798,14802,35
799,14803,35
800,14810,30
801,14812,50
802,14813,50
803,14819,30
804,14819,35
805,14828,35
806,14829,35
807,14834,50
808,14835,35
809,14835,40
810,14837,30
